country_iso3code,year,indicator_code,indicator_value
ABW,2023,NY.GDP.MKTP.CD,3648573136.15155
ABW,2022,NY.GDP.MKTP.CD,3279343543.60416
ABW,2021,NY.GDP.MKTP.CD,2929446578.25104
ABW,2020,NY.GDP.MKTP.CD,2481857122.8401
ABW,2023,SP.POP.TOTL,107359.0
ABW,2022,SP.POP.TOTL,107310.0
ABW,2021,SP.POP.TOTL,107700.0
ABW,2020,SP.POP.TOTL,108587.0
AFG,2023,NY.GDP.MKTP.CD,17233051620.1117
AFG,2022,NY.GDP.MKTP.CD,14497243872.1337
AFG,2021,NY.GDP.MKTP.CD,14259995441.0759
AFG,2020,NY.GDP.MKTP.CD,19955929052.1496
AFG,2023,SP.POP.TOTL,41454761.0
AFG,2022,SP.POP.TOTL,40578842.0
AFG,2021,SP.POP.TOTL,40000412.0
AFG,2020,SP.POP.TOTL,39068979.0
AGO,2023,NY.GDP.MKTP.CD,84824654481.7249
AGO,2022,NY.GDP.MKTP.CD,104399746853.401
AGO,2021,NY.GDP.MKTP.CD,66505129987.7235
AGO,2020,NY.GDP.MKTP.CD,48501561203.5686
AGO,2023,SP.POP.TOTL,36749906.0
AGO,2022,SP.POP.TOTL,35635029.0
AGO,2021,SP.POP.TOTL,34532429.0
AGO,2020,SP.POP.TOTL,33451132.0
ALB,2023,NY.GDP.MKTP.CD,23547179830.4413
ALB,2022,NY.GDP.MKTP.CD,19017242585.7803
ALB,2021,NY.GDP.MKTP.CD,18032010563.7558
ALB,2020,NY.GDP.MKTP.CD,15241458744.8688
ALB,2023,SP.POP.TOTL,2745972.0
ALB,2022,SP.POP.TOTL,2777689.0
ALB,2021,SP.POP.TOTL,2811666.0
ALB,2020,SP.POP.TOTL,2837849.0
AND,2023,NY.GDP.MKTP.CD,3785067331.7625
AND,2022,NY.GDP.MKTP.CD,3380612573.32922
AND,2021,NY.GDP.MKTP.CD,3324647529.381
AND,2020,NY.GDP.MKTP.CD,2891001149.3611
